Coincidence event, time difference, timestamp 1, timestamp 2, nth event within the second
//note that we still have too many events in this dataset to be considered muons.
Muon:0.000002 (162856.000008-162856.000009) Et3
Muon:0.000073 (162856.000126-162856.000053) Et4
Muon:0.000090 (162939.000001-162939.000091) Et1
Muon:0.000030 (162939.000131-162939.000101) Et2
Muon:0.000090 (163106.000306-163106.000216) Et1
Muon:0.000098 (163156.000002-163156.000100) Et1
Muon:0.000099 (163157.000547-163157.000448) Et1
Muon:0.000043 (163322.000001-163322.000044) Et1
Muon:0.000016 (163349.000001-163349.000017) Et1
Muon:0.000016 (163448.000001-163448.000017) Et1
Muon:0.000003 (163508.000001-163508.000004) Et1
Muon:0.000001 (163614.000003-163614.000002) Et1
Muon:0.000005 (163706.000001-163706.000006) Et1
Muon:0.000037 (163706.000001-163706.000038) Et2
Muon:0.000002 (163750.000001-163750.000002) Et1
Muon:0.000003 (163750.000001-163750.000005) Et2
Muon:0.000007 (163750.000002-163750.000009) Et3
Muon:0.000002 (163750.000011-163750.000013) Et4
Muon:0.000000 (163817.000001-163817.000000) Et1
Muon:0.000002 (163922.000001-163922.000002) Et1
Muon:0.000003 (163922.000001-163922.000005) Et2
Muon:0.000007 (163922.000002-163922.000009) Et3
Muon:0.000012 (163922.000015-163922.000027) Et4
Muon:0.000043 (163923.000001-163923.000044) Et1
